触发时间: 2026-09-05 17:24:20 | 方法名: main | 输入: {"args": [], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: register_handler | 输入: {"args": ["initialize", "<function handle_initialize at 0x0000029EE9B64E00>"], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: register_handler | 输出: null
触发时间: 2026-09-05 17:24:20 | 方法名: register_handler | 输入: {"args": ["tools/list", "<function handle_tools_list at 0x0000029EE9B64F40>"], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: register_handler | 输出: null
触发时间: 2026-09-05 17:24:20 | 方法名: register_handler | 输入: {"args": ["tools/call", "<function handle_tools_call at 0x0000029EE9B65080>"], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: register_handler | 输出: null
触发时间: 2026-09-05 17:24:20 | 方法名: register_handler | 输入: {"args": ["ping", "<function handle_ping at 0x0000029EE9B65300>"], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: register_handler | 输出: null
触发时间: 2026-09-05 17:24:20 | 方法名: read_message | 输入: {"args": [], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: read_message | 输出: {"method": "initialize", "params": {"protocolVersion": "2025-11-25", "capabilities": {"roots": {}}, "clientInfo": {"name": "opencode", "version": "1.18.29"}}, "jsonrpc": "2.0", "id": 0}
触发时间: 2026-09-05 17:24:20 | 方法名: dispatch | 输入: {"args": [{"method": "initialize", "params": {"protocolVersion": "2025-11-25", "capabilities": {"roots": {}}, "clientInfo": {"name": "opencode", "version": "1.18.29"}}, "jsonrpc": "2.0", "id": 0}], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: handle_initialize | 输入: {"args": [{"method": "initialize", "params": {"protocolVersion": "2025-11-25", "capabilities": {"roots": {}}, "clientInfo": {"name": "opencode", "version": "1.18.29"}}, "jsonrpc": "2.0", "id": 0}], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: handle_initialize | 输出: {"jsonrpc": "2.0", "id": 0, "result": {"protocolVersion": "2024-11-05", "capabilities": {"tools": {}}, "serverInfo": {"name": "weather-mcp", "version": "0.1.0"}}}
触发时间: 2026-09-05 17:24:20 | 方法名: dispatch | 输出: {"jsonrpc": "2.0", "id": 0, "result": {"protocolVersion": "2024-11-05", "capabilities": {"tools": {}}, "serverInfo": {"name": "weather-mcp", "version": "0.1.0"}}}
触发时间: 2026-09-05 17:24:20 | 方法名: send_message | 输入: {"args": [{"jsonrpc": "2.0", "id": 0, "result": {"protocolVersion": "2024-11-05", "capabilities": {"tools": {}}, "serverInfo": {"name": "weather-mcp", "version": "0.1.0"}}}], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: send_message | 输出: null
触发时间: 2026-09-05 17:24:20 | 方法名: read_message | 输入: {"args": [], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: read_message | 输出: {"method": "notifications/initialized", "jsonrpc": "2.0"}
触发时间: 2026-09-05 17:24:20 | 方法名: dispatch | 输入: {"args": [{"method": "notifications/initialized", "jsonrpc": "2.0"}], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: dispatch | 输出: null
触发时间: 2026-09-05 17:24:20 | 方法名: read_message | 输入: {"args": [], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: read_message | 输出: {"method": "tools/list", "jsonrpc": "2.0", "id": 1}
触发时间: 2026-09-05 17:24:20 | 方法名: dispatch | 输入: {"args": [{"method": "tools/list", "jsonrpc": "2.0", "id": 1}], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: handle_tools_list | 输入: {"args": [{"method": "tools/list", "jsonrpc": "2.0", "id": 1}], "kwargs": {}}
触发时间: 2026-09-05 17:24:20 | 方法名: handle_tools_list | 输出: {"jsonrpc": "2.0", "id": 1, "result": {"tools": [{"name": "get_current_weather", "description": "查询指定城市的当前天气。支持英文城市名，返回中文天气信息。", "inputSchema": {"type": "object", "properties": {"city": {"type": "string", "description": "城市英文名，例如 Nanhai（南海）、Foshan（佛山）"}, "state": {"type": "string", "description": "省/州英文名，例如 Guangdong（广东）"}, "country": {"type": "string", "description": "国家英文名，例如 China"}}, "required": ["city"]}}]}}
